,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name_Freq,Platform_Freq,Genre_Freq,Publisher_Freq,Global_Sales_log,Global_Sales_reciprocal,Global_Sales_sqrt,Global_Sales_exp1,Global_Sales_yeojohnson,Global_Sales_boxcox
8131,30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,4,1261,1308,975,2.6919208191723265,0.06775067750677508,3.8418745424597094,1.3089065341782196,0.38934283513510975,2.5241724834798362
539,31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,1,98,1486,703,2.6837575085331657,0.06830601092896174,3.8262252939417984,1.3078384691212623,0.3893363142190606,2.5170035745969286
8132,32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,5,1261,1308,975,2.6837575085331657,0.06830601092896174,3.8262252939417984,1.3078384691212623,0.3893363142190606,2.5170035745969286
602,33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,1,507,1486,703,2.66374994220563,0.06968641114982578,3.788139384975162,1.3052244185411255,0.3893197958242972,2.4994212357001344
8189,34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,5,336,1308,975,2.65605490598383,0.0702247191011236,3.7735924528226414,1.3042204299592668,0.38931323443594845,2.4926544293025423
8166,35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,4,1326,1308,975,2.6411978941143697,0.07127583749109052,3.7456641600656084,1.3022841868139639,0.3893002282141667,2.4795824538130615
8134,36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,4,1261,1308,975,2.6195832197798796,0.07283321194464676,3.705401462729781,1.2994723818622016,0.3892804842948444,2.4605479657268536
8135,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,3,1261,1308,975,2.6034301519721073,0.07401924500370097,3.675595189897821,1.297375029701967,0.38926506787768006,2.446310134080495
8163,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,4,1326,1308,975,2.599722324216582,0.07429420505200594,3.6687872655688283,1.2968940745579733,0.389261446818925,2.443040367118226
4041,39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2,2159,3309,413,2.5726122302071057,0.07633587786259542,3.6193922141707713,1.2933829440341844,0.38923400404248165,2.419115379990995
330,40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,1,1324,846,703,2.5680215564985067,0.07668711656441718,3.6110940170535577,1.2927893303913036,0.38922918411422885,2.41506095044863
8164,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,5,1326,1308,975,2.543961412569315,0.07855459544383346,3.5679125549822546,1.289682599573615,0.38920306898500134,2.3937965940209156
432,42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,1,2156,863,703,2.50715725872282,0.08149959250203749,3.502855977627399,1.2849447558573017,0.3891602106603851,2.361221204872893
75,43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,1,507,1248,703,2.502255288122613,0.0819000819000819,3.4942810419312296,1.2843150340721852,0.38915422361782537,2.356878092242577
11087,44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,1,1261,1308,189,2.4965057856313524,0.08237232289950576,3.4842502780368694,1.2835768290593026,0.38914711502254284,2.3517827608502584
4027,45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,5,336,3309,413,2.4832385926873033,0.08347245409015025,3.461213659975356,1.281875012080675,0.3891303493881827,2.340019688069064
367,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,1,2156,3309,703,2.4765384001174837,0.08403361344537814,3.449637662132068,1.2810164188066713,0.38912168667743646,2.3340762388086347
293,47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,2,319,884,703,2.4756977107026903,0.08410428931875526,3.448187929913334,1.2809087296390451,0.38912059032990637,2.3333303639180194
11642,48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,1,2159,1248,683,2.4561641809223462,0.08576329331046312,3.4146742157927745,1.2784091048769457,0.3890945136677161,2.3159913273115795
193,49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,1,1324,884,703,2.444084655267745,0.08680555555555555,3.394112549695428,1.2768657796385043,0.3890777956024381,2.3052606815625474
603,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,1,507,1486,703,2.427454075039915,0.088261253309797,3.366006535941367,1.2747440425346341,0.38905401207068774,2.2904769294095226
644,51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,1,98,1282,703,2.414126467726953,0.08944543828264759,3.3436506994600976,1.2730462453623002,0.38903429118241994,2.2786207751417096
4008,52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,3,1261,3309,413,2.3997118037247684,0.09074410163339383,3.3196385345395663,1.2712125139223296,0.3890122783124797,2.2657889831650757
11659,53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,1,1193,1248,683,2.3933394562625097,0.09132420091324202,3.3090784215548594,1.2704027111832454,0.38900231500076016,2.260113532270627
278,54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,1,507,884,703,2.378619779270043,0.09267840593141799,3.2848135411313684,1.2685340950360464,0.3889787426864735,2.2469969540751693
11631,55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,1,1326,1248,683,2.3767644911682972,0.09285051067780874,3.281767816284388,1.268298767245446,0.3889757154415274,2.245343060487027
8167,56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,3,1326,1308,975,2.3693087250369538,0.09354536950420955,3.269556544854363,1.2673535057723324,0.38896342101467346,2.23869513420568
4019,57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,3,1326,3309,413,2.3580197998821464,0.0946073793755913,3.2511536414017717,1.2659236071379858,0.3889444068333842,2.228624815281918
248,58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,1,239,884,703,2.3561258599220753,0.0947867298578199,3.248076353782343,1.265683871510351,0.388941169061863,2.226934782315207
583,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,1,796,1486,703,2.3504224224082058,0.09532888465204957,3.2388269481403293,1.2649622024422884,0.388931334770901,2.2218444587832455
234,60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,2,2156,884,703,2.343727036325221,0.09596928982725528,3.2280024783137944,1.2641155448763077,0.38891962747673625,2.215867029601658
4549,61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,3,1324,1712,921,2.3282528397426234,0.09746588693957116,3.2031234756093934,1.2621609403186391,0.3888918844636748,2.2020447528723412
8136,62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,6,1261,1308,975,2.3233676321765744,0.0979431929480901,3.1953090617340916,1.2615444990855458,0.38888292342329583,2.1976789096043294
11088,63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,1,1261,1308,189,2.2905125117597764,0.10121457489878542,3.1432467291003423,1.2574064809192922,0.38882003420766154,2.1682899453409585
77,64,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,1,319,1248,703,2.28949985344539,0.10131712259371835,3.1416556144810017,1.2572791550535343,0.3888180213022863,2.167383379149533
279,65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,1,507,884,703,2.2844211223663744,0.10183299389002036,3.1336879231984796,1.256640778902319,0.3888078569934021,2.162836056935444
11089,66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,1,1261,1308,189,2.278292400425001,0.10245901639344263,3.1240998703626617,1.2558708546675876,0.3887954365628635,2.1573471225090204
12106,67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1,1193,1486,683,2.2741856184723477,0.10288065843621398,3.117691453623979,1.2553552017824519,0.38878701807486526,2.1536681445869177
8168,68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,6,1326,1308,975,2.2607208888953467,0.10427528675703858,3.0967725134404045,1.253666037413219,0.3887588690219929,2.141600914942077
4550,69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,1,1324,1712,921,2.253394848803274,0.10504201680672269,3.0854497241083023,1.2527479329925555,0.3887431945768006,2.135031942959963
11660,70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,1,1193,1248,683,2.2502386126218363,0.1053740779768177,3.0805843601498726,1.252352598549048,0.38873636239979403,2.1322011532161427
8137,71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,4,1261,1308,975,2.2321626286975,0.1072961373390558,3.0528675044947495,1.2500908927488619,0.38869629628933355,2.115980703398838
249,72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,3,239,884,703,2.2300144001592104,0.1075268817204301,3.0495901363953815,1.2498223734988043,0.3886914267641652,2.114052052377435
11048,73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,6,1261,1712,189,2.2192034840549946,0.10869565217391305,3.03315017762062,1.248471931123787,0.38866656549385886,2.1043431157314636
440,74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,1,507,863,703,2.2071749081893874,0.11001100110011001,3.014962686336267,1.2469711000138286,0.3886381947808009,2.093534674528573
116,75,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,1,2156,1712,703,2.199444334074532,0.11086474501108648,3.003331483536241,1.2460074922730966,0.3886195586140366,2.086584944196862
8760,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,3,1261,1486,71,2.179286876649552,0.11312217194570136,2.973213749463701,1.2434983876834629,0.38856944122049936,2.0684513191114027
68,77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,1,239,1248,703,2.1701959049483,0.11415525114155252,2.9597297173897483,1.2423684405118736,0.38854609916532223,2.060267309866274
1532,78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,5,336,2343,1351,2.138889000323256,0.11778563015312131,2.9137604568666933,1.238485051500546,0.38846205020781666,2.0320562166723035
93,79,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,1,1324,1712,703,2.138889000323256,0.11778563015312131,2.9137604568666933,1.238485051500546,0.38846205020781666,2.0320562166723035
11108,80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2,824,1308,189,2.138889000323256,0.11778563015312131,2.9137604568666933,1.238485051500546,0.38846205020781666,2.0320562166723035
94,81,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,1,1324,1712,703,2.130609828254235,0.11876484560570072,2.9017236257093817,1.237460112756674,0.38843884150463526,2.0245885989352144
544,82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,1,2156,1486,703,2.1198634561787513,0.12004801920768307,2.8861739379323623,1.2361310063581523,0.388408082890273,2.0148911678442105
2357,83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,8,1326,3309,1351,2.1090003439213802,0.12135922330097088,2.870540018881465,1.2347889124672742,0.38837624768346224,2.0050832714365368
2526,84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,6,954,863,1351,2.0930978681273213,0.12330456226880396,2.8478061731796283,1.2328268528818846,0.38832826347123983,1.9907162336472195
323,85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,1,319,1308,703,2.0906287310704004,0.12360939431396786,2.8442925306655784,1.232522488612564,0.3883206630116275,1.9884845097047834
703,86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2,1324,2343,639,2.086913556518537,0.12406947890818858,2.839013913315678,1.2320646700431956,0.3883091498730477,1.9851260557530281
12091,87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,1,2159,1486,683,2.0856720914304723,0.12422360248447203,2.8372521918222215,1.2319117230099024,0.38830528187066643,1.984003658226201
12719,88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,1,1193,1486,52,2.061786606441115,0.1272264631043257,2.8035691537752374,1.228972753446031,0.3882287975827259,1.9623958874291916
545,89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,1,2156,1486,703,2.0592388343623163,0.12755102040816327,2.8,1.2286596790831472,0.3882204032729492,1.9600895978030912
7314,90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,2,133,581,363,2.0554049638515948,0.12804097311139565,2.794637722496424,1.2281887171581327,0.38820768408149203,1.9566185732761256
4077,91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2,1211,3309,413,2.0438143640366846,0.1295336787564767,2.778488797889961,1.22676599743438,0.3881685842831294,1.94612102149886
194,92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,1,1324,884,703,2.0399207835175526,0.13003901170351104,2.7730849247724096,1.2262884391920723,0.38815522865353036,1.942593304296058
2170,93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,3,336,1308,1351,2.0373166153791646,0.1303780964797914,2.7694764848252458,1.225969134641832,0.38814623314726604,1.9402334683523934
8191,94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,5,336,1308,975,2.028148247292285,0.13157894736842105,2.756809750418044,1.224845636123975,0.38811415850122,1.9319229449324056
415,95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,2,319,3309,703,2.028148247292285,0.13157894736842105,2.756809750418044,1.224845636123975,0.38811415850122,1.9319229449324056
11859,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1,1193,884,683,2.0255131996542803,0.13192612137203166,2.753179979587241,1.224522925983633,0.38810482233573984,1.929533766026284
205,97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1,98,884,703,2.0095554142156695,0.13404825737265416,2.7313000567495327,1.2225704168722957,0.38804713910124716,1.915058453505484
340,98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,2,507,846,703,2.0082140323914683,0.1342281879194631,2.7294688127912363,1.2224064344970906,0.38804219973038967,1.9138411769030157
8139,99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,5,1261,1308,975,1.9974177062012453,0.13568521031207598,2.7147743920996454,1.2210873968028881,0.38800192310294096,1.904040857398701
2131,100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,3,1261,1308,1351,1.9933388426264242,0.1362397820163488,2.7092434368288134,1.2205894334755667,0.3879864625967892,1.9003369551597917
348,101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2,1324,3309,703,1.9892432737616872,0.13679890560875513,2.7037011669191546,1.2200896350224653,0.3879708024802132,1.8966171486321695
8196,102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,5,213,1308,975,1.9878743481543455,0.136986301369863,2.701851217221259,1.2199226252594597,0.387965537512993,1.89537365572709
4551,103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,1,1324,1712,921,1.9837562915454279,0.13755158184319122,2.6962937525425525,1.21942035764195,0.3879496060859155,1.8916324347701492
2153,104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,3,1326,1308,1351,1.9782390361706734,0.1383125864453665,2.6888659319497505,1.2187477578520234,0.38792804089638977,1.8866188859576407
1961,105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,5,2159,1248,1351,1.9740810260220096,0.1388888888888889,2.6832815729997477,1.2182411066377865,0.3879116200242167,1.8828396044755111
11945,106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,1,1193,846,683,1.9685099809725544,0.13966480446927373,2.6758176320519302,1.217562608044029,0.38788938944069284,1.87777480257171
11860,107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1,1193,884,683,1.9643112344262046,0.1402524544179523,2.670205984563738,1.2170514916743935,0.3878724597033056,1.8739566965980823
346,108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,1,556,846,703,1.9558604799084813,0.14144271570014144,2.658947160061666,1.2160234257930391,0.3878379236218267,1.8662697024015558
76,109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,1,143,1248,703,1.9401794743463283,0.14367816091954022,2.6381811916545836,1.214118073065447,0.3877721740957695,1.851997591034922
8768,110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,3,336,1486,71,1.9401794743463283,0.14367816091954022,2.6381811916545836,1.214118073065447,0.3877721740957695,1.851997591034922
88,111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,1,556,1248,703,1.9387416595767009,0.14388489208633093,2.6362852652928135,1.2139435179248932,0.38776603530498577,1.8506884184720278
4552,112,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,4,1324,1712,921,1.9329696377795786,0.1447178002894356,2.6286878856189833,1.2132430292615393,0.38774120254894023,1.845431907448824
1469,113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,9,1326,2343,1351,1.9315214116032138,0.14492753623188406,2.6267851073127395,1.2130673369526295,0.38773492415785826,1.844112795120683
1962,114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,6,2159,1248,1351,1.9315214116032138,0.14492753623188406,2.6267851073127395,1.2130673369526295,0.38773492415785826,1.844112795120683
2205,115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,3,2159,1308,1351,1.9213246735826988,0.14641288433382138,2.613426869074396,1.2118310343888012,0.387690170733334,1.8348225139947782
